year,brand,superbowl_ads_link,youtube_link,length,estimated_cost,youtube_views,youtube_likes,tv_viewers,funny,shows_product_quickly,patriotic,celebrity,danger,animals,uses_sex,no_youtube_likes
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-cedric-gets-massage/,https://www.youtube.com/watch?v=gWqR28uRxXw,30,2.1,41044.0,43.0,89.8,1,1,0,1,0,0,1,41001.0
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-lipstick/,https://www.youtube.com/watch?v=zM4rU4jit5k,30,2.1,102403.0,448.0,89.8,1,0,0,1,0,1,1,101955.0
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,https://www.youtube.com/watch?v=-gTWA5AsTP8,30,2.4,9065.0,30.0,86.06,1,1,0,0,1,1,1,9035.0
2005,Pepsi,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/,https://www.youtube.com/watch?v=vUwROngDC88,45,3.6,219.0,1.0,86.06,1,1,0,0,0,0,0,218.0
2005,Pepsi,https://superbowl-ads.com/2005-diet-pepsi-pdiddy/,https://www.youtube.com/watch?v=eXfNnSOOoVc,90,7.2,44172.0,97.0,86.06,1,1,0,1,0,0,1,44075.0
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-cedric-stranded/,https://www.youtube.com/watch?v=Q5Hu_FBUIsk,30,2.4,3515.0,7.0,86.06,1,1,0,1,0,1,1,3508.0
2005,Pepsi,https://superbowl-ads.com/2005-diet-pepsi-hot-guy/,https://www.youtube.com/watch?v=bHY2miRSwh4,30,2.4,433.0,3.0,86.06,1,0,0,1,0,0,1,430.0
2006,Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8,30,2.4,142518.0,129.0,90.75,1,0,0,0,1,1,0,142389.0
2006,Budweiser,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/,https://www.youtube.com/watch?v=4WeAvfP1ikU,30,2.4,85545.0,81.0,90.75,1,1,0,0,0,0,0,85464.0
2006,Bud Light,https://superbowl-ads.com/2006-bud-light-magic-fridge/,https://www.youtube.com/watch?v=67dRRrRz2t8,30,2.4,103580.0,380.0,90.75,1,1,0,0,0,0,0,103200.0
2006,Budweiser,https://superbowl-ads.com/2006-budweiser-on-the-roof/,https://www.youtube.com/watch?v=q05QIp5qbnY,30,2.4,120496.0,168.0,90.75,1,1,0,0,1,0,0,120328.0
2006,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-jackie-chan/,https://www.youtube.com/watch?v=sx0i7WgBOvs,30,2.4,69745.0,74.0,90.75,1,1,0,1,1,0,0,69671.0
2006,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-brown-and-bubbly/,https://www.youtube.com/watch?v=d8f-PiELHls,60,4.8,6715.0,47.0,90.75,1,1,0,1,0,0,1,6668.0
2006,Budweiser,https://superbowl-ads.com/2006-budweiser-streaker/,https://www.youtube.com/watch?v=Zb3fhsfs6ZU,30,2.4,772365.0,2300.0,90.75,1,0,0,0,0,1,1,770065.0
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,https://www.youtube.com/watch?v=7KHlMJE84eA,30,2.4,185072.0,134.0,93.2,1,1,0,0,0,1,1,184938.0
